,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-17383520.0,771876.0,1221248.0,1492260.0,8518020.0,,
Tax Rate For Calcs,0.34,0.378,0.232,0.34,0.34,,
Normalized EBITDA,85684000.0,24463000.0,4804000.0,17703000.0,-3968000.0,,
Total Unusual Items,-51128000.0,2042000.0,5264000.0,4389000.0,25053000.0,,
Total Unusual Items Excluding Goodwill,-51128000.0,2042000.0,5264000.0,4389000.0,25053000.0,,
Net Income From Continuing Operation Net Minority Interest,-33667000.0,15351000.0,7368000.0,10327000.0,21550000.0,,
Reconciled Depreciation,3131000.0,5287000.0,4677000.0,4573000.0,3320000.0,,
EBITDA,34556000.0,26505000.0,10068000.0,22092000.0,21085000.0,,
EBIT,31425000.0,21218000.0,5391000.0,17519000.0,17765000.0,,
Net Interest Income,342000.0,-418000.0,-804000.0,-250000.0,-126000.0,,
Interest Expense,,,,186000.0,,,
Interest Income,,,463000.0,389000.0,42000.0,36000.0,49000.0
Normalized Income,77480.0,14080876.0,3325248.0,7430260.0,5015020.0,,
Net Income From Continuing And Discontinued Operation,-33667000.0,15351000.0,7368000.0,10327000.0,21550000.0,,
Total Expenses,106904000.0,102438000.0,92429000.0,87205000.0,86912000.0,,
Total Operating Income As Reported,,,7366000.0,,,4272000.0,
Diluted Average Shares,,115307477.0,91428527.0,88449122.0,,88497365.0,86957953.0
Basic Average Shares,,112849450.0,91428527.0,88449122.0,,87092101.0,86957953.0
Diluted EPS,,0.13,0.08,0.118279,,0.11,-0.68
Basic EPS,,0.14,0.08,0.118279,,0.11,-0.68
Diluted NI Availto Com Stockholders,-33667000.0,15351000.0,7368000.0,10327000.0,21550000.0,,
Net Income Common Stockholders,-33667000.0,15351000.0,7368000.0,10327000.0,21550000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,-33667000.0,15351000.0,7368000.0,10327000.0,21550000.0,,
Minority Interests,-760000.0,1155000.0,-199000.0,323000.0,3000.0,,
Net Income Including Noncontrolling Interests,-32907000.0,14196000.0,7567000.0,10004000.0,21547000.0,,
Net Income Discontinuous Operations,,,,,0.0,0.0,0.0
Net Income Continuous Operations,-32907000.0,14196000.0,7567000.0,10004000.0,21547000.0,,
Tax Provision,13546000.0,8646000.0,2284000.0,7329000.0,21145000.0,,
Pretax Income,-19361000.0,22842000.0,9851000.0,17333000.0,42692000.0,,
Special Income Charges,-51734000.0,0.0,1975000.0,-1975000.0,19317000.0,,
Write Off,,,,0.0,72000.0,124000.0,82799000.0
Impairment Of Capital Assets,56225000.0,0.0,-1975000.0,1975000.0,72000.0,,
Net Non Operating Interest Income Expense,342000.0,-418000.0,-804000.0,-250000.0,-126000.0,,
Total Other Finance Cost,-342000.0,418000.0,1267000.0,453000.0,168000.0,,
Interest Expense Non Operating,,,,186000.0,,,
Interest Income Non Operating,,,463000.0,389000.0,42000.0,36000.0,49000.0
Operating Income,31425000.0,21218000.0,5391000.0,13194000.0,17765000.0,,
Operating Expense,106904000.0,102438000.0,92429000.0,87205000.0,86912000.0,,
Other Operating Expenses,71558000.0,64597000.0,55791000.0,54417000.0,52075000.0,,
Depreciation And Amortization In Income Statement,3131000.0,5287000.0,4677000.0,4573000.0,3320000.0,,
Depreciation Income Statement,3131000.0,5287000.0,4677000.0,4573000.0,3320000.0,,
Selling General And Administration,12762000.0,13359000.0,13870000.0,11725000.0,15407000.0,,
Selling And Marketing Expense,12762000.0,13359000.0,13870000.0,11725000.0,12276000.0,,
General And Administrative Expense,,,,,3131000.0,6066000.0,8794000.0
Total Revenue,138329000.0,123656000.0,97820000.0,100399000.0,104677000.0,,
Operating Revenue,138329000.0,123656000.0,97820000.0,100399000.0,104677000.0,,
